code,name,Marcap,current_price,1W,1M,3M,6M,1Y,2Y,YTD,3Y,4Y,sector_name
241790,티이엠씨씨엔에스,47762577350,4775,0.5263157894736842,-7.461240310077518,-43.01909307875895,-30.190058479532162,-34.49931412894376,-45.73863636363637,-27.760968229954614,-70.41511771995044,-58.47826086956521,반도체와반도체장비
482630,삼양엔씨켐,288268647600,13170,-1.348314606741573,-27.07641196013289,-36.067961165048544,-0.03795066413662239,53.586005830903794,,15.021834061135372,,,반도체와반도체장비
232680,라온로보틱스,117063725000,8830,4.9940546967895365,-16.461684011352887,-47.40917212626564,-42.92178409825468,21.124828532235938,1.9630484988452657,-39.312714776632305,-10.62753036437247,-39.72696245733788,반도체와반도체장비
054450,텔레칩스,144627425150,9550,-4.69061876247505,-9.820585457979226,-34.36426116838488,-36.544850498338874,-27.376425855513308,-47.091412742382275,-40.2377972465582,-55.58139534883721,-36.333333333333336,반도체와반도체장비
033170,시그네틱스,34377055919,401,-7.816091954022989,-20.594059405940595,-60.686274509803916,-48.19121447028424,-35.839999999999996,-66.33081444164569,-48.72122762148338,-72.66530334014996,-77.28045325779037,반도체와반도체장비
348210,넥스틴,374029078500,35700,-9.620253164556962,-23.308270676691727,-53.14960629921261,-51.0958904109589,-22.81081081081081,-37.696335078534034,-50.34770514603616,-51.42857142857142,-44.043887147335425,반도체와반도체장비
490470,세미파이브,611437156800,17970,-2.1241830065359477,-17.945205479452056,-53.92307692307692,-31.802656546489565,,,-32.18867924528302,,,반도체와반도체장비
092870,엑시콘,204636496960,15680,-4.796599878567092,-22.567901234567902,-55.83098591549296,-13.608815426997245,55.55555555555556,-18.756476683937823,3.7037037037037033,11.87214611872146,67.07511987213638,반도체와반도체장비
094360,칩스앤미디어,223803271520,10480,-0.6635071090047393,-13.815789473684212,-43.9572192513369,-40.216771249286936,-38.31665685697469,-47.52128192288433,-41.93905817174515,-49.24939467312349,26.64652567975831,반도체와반도체장비
092220,KEC,106203701060,2645,-2.3985239852398523,-34.20398009950249,-71.72634954569749,-27.034482758620687,-33.207070707070706,-55.9533721898418,-23.99425287356322,-69.33333333333334,-79.0909090909091,반도체와반도체장비
131970,두산테스나,1609958925400,83300,-4.1426927502876865,-33.36,-31.944444444444443,52.84403669724771,205.1282051282051,119.21052631578948,56.57894736842105,76.85774946921444,177.66666666666666,반도체와반도체장비
